# x rho u p
5e-06 1 0 1
1.5e-05 1 0 1
2.5e-05 1 0 1
3.5e-05 1 0 1
4.5e-05 1 0 1
5.5e-05 1 0 1
6.5e-05 1 0 1
7.5e-05 1 0 1
8.5e-05 1 0 1
9.5e-05 1 0 1
0.000105 1 0 1
0.000115 1 0 1
0.000125 1 0 1
0.000135 1 0 1
0.000145 1 0 1
0.000155 1 0 1
0.000165 1 0 1
0.000175 1 0 1
0.000185 1 0 1
0.000195 1 0 1
0.000205 1 0 1
0.000215 1 0 1
0.000225 1 0 1
0.000235 1 0 1
0.000245 1 0 1
0.000255 1 0 1
0.000265 1 0 1
0.000275 1 0 1
0.000285 1 0 1
0.000295 1 0 1
0.000305 1 0 1
0.000315 1 0 1
0.000325 1 0 1
0.000335 1 0 1
0.000345 1 0 1
0.000355 1 0 1
0.000365 1 0 1
0.000375 1 0 1
0.000385 1 0 1
0.000395 1 0 1
0.000405 1 0 1
0.000415 1 0 1
0.000425 1 0 1
0.000435 1 0 1
0.000445 1 0 1
0.000455 1 0 1
0.000465 1 0 1
0.000475 1 0 1
0.000485 1 0 1
0.000495 1 0 1
0.000505 1 0 1
0.000515 1 0 1
0.000525 1 0 1
0.000535 1 0 1
0.000545 1 0 1
0.000555 1 0 1
0.000565 1 0 1
0.000575 1 0 1
0.000585 1 0 1
0.000595 1 0 1
0.000605 1 0 1
0.000615 1 0 1
0.000625 1 0 1
0.000635 1 0 1
0.000645 1 0 1
0.000655 1 0 1
0.000665 1 0 1
0.000675 1 0 1
0.000685 1 0 1
0.000695 1 0 1
0.000705 1 0 1
0.000715 1 0 1
0.000725 1 0 1
0.000735 1 0 1
0.000745 1 0 1
0.000755 1 0 1
0.000765 1 0 1
0.000775 1 0 1
0.000785 1 0 1
0.000795 1 0 1
0.000805 1 0 1
0.000815 1 0 1
0.000825 1 0 1
0.000835 1 0 1
0.000845 1 0 1
0.000855 1 0 1
0.000865 1 0 1
0.000875 1 0 1
0.000885 1 0 1
0.000895 1 0 1
0.000905 1 0 1
0.000915 1 0 1
0.000925 1 0 1
0.000935 1 0 1
0.000945 1 0 1
0.000955 1 0 1
0.000965 1 0 1
0.000975 1 0 1
0.000985 1 0 1
0.000995 1 0 1
0.001005 1 0 1
0.001015 1 0 1
0.001025 1 0 1
0.001035 1 0 1
0.001045 1 0 1
0.001055 1 0 1
0.001065 1 0 1
0.001075 1 0 1
0.001085 1 0 1
0.001095 1 0 1
0.001105 1 0 1
0.001115 1 0 1
0.001125 1 0 1
0.001135 1 0 1
0.001145 1 0 1
0.001155 1 0 1
0.001165 1 0 1
0.001175 1 0 1
0.001185 1 0 1
0.001195 1 0 1
0.001205 1 0 1
0.001215 1 0 1
0.001225 1 0 1
0.001235 1 0 1
0.001245 1 0 1
0.001255 1 0 1
0.001265 1 0 1
0.001275 1 0 1
0.001285 1 0 1
0.001295 1 0 1
0.001305 1 0 1
0.001315 1 0 1
0.001325 1 0 1
0.001335 1 0 1
0.001345 1 0 1
0.001355 1 0 1
0.001365 1 0 1
0.001375 1 0 1
0.001385 1 0 1
0.001395 1 0 1
0.001405 1 0 1
0.001415 1 0 1
0.001425 1 0 1
0.001435 1 0 1
0.001445 1 0 1
0.001455 1 0 1
0.001465 1 0 1
0.001475 1 0 1
0.001485 1 0 1
0.001495 1 0 1
0.001505 1 0 1
0.001515 1 0 1
0.001525 1 0 1
0.001535 1 0 1
0.001545 1 0 1
0.001555 1 0 1
0.001565 1 0 1
0.001575 1 0 1
0.001585 1 0 1
0.001595 1 0 1
0.001605 1 0 1
0.001615 1 0 1
0.001625 1 0 1
0.001635 1 0 1
0.001645 1 0 1
0.001655 1 0 1
0.001665 1 0 1
0.001675 1 0 1
0.001685 1 0 1
0.001695 1 0 1
0.001705 1 0 1
0.001715 1 0 1
0.001725 1 0 1
0.001735 1 0 1
0.001745 1 0 1
0.001755 1 0 1
0.001765 1 0 1
0.001775 1 0 1
0.001785 1 0 1
0.001795 1 0 1
0.001805 1 0 1
0.001815 1 0 1
0.001825 1 0 1
0.001835 1 0 1
0.001845 1 0 1
0.001855 1 0 1
0.001865 1 0 1
0.001875 1 0 1
0.001885 1 0 1
0.001895 1 0 1
0.001905 1 0 1
0.001915 1 0 1
0.001925 1 0 1
0.001935 1 0 1
0.001945 1 0 1
0.001955 1 0 1
0.001965 1 0 1
0.001975 1 0 1
0.001985 1 0 1
0.001995 1 0 1
0.002005 1 0 1
0.002015 1 0 1
0.002025 1 0 1
0.002035 1 0 1
0.002045 1 0 1
0.002055 1 0 1
0.002065 1 0 1
0.002075 1 0 1
0.002085 1 0 1
0.002095 1 0 1
0.002105 1 0 1
0.002115 1 0 1
0.002125 1 0 1
0.002135 1 0 1
0.002145 1 0 1
0.002155 1 0 1
0.002165 1 0 1
0.002175 1 0 1
0.002185 1 0 1
0.002195 1 0 1
0.002205 1 0 1
0.002215 1 0 1
0.002225 1 0 1
0.002235 1 0 1
0.002245 1 0 1
0.002255 1 0 1
0.002265 1 0 1
0.002275 1 0 1
0.002285 1 0 1
0.002295 1 0 1
0.002305 1 0 1
0.002315 1 0 1
0.002325 1 0 1
0.002335 1 0 1
0.002345 1 0 1
0.002355 1 0 1
0.002365 1 0 1
0.002375 1 0 1
0.002385 1 0 1
0.002395 1 0 1
0.002405 1 0 1
0.002415 1 0 1
0.002425 1 0 1
0.002435 1 0 1
0.002445 1 0 1
0.002455 1 0 1
0.002465 1 0 1
0.002475 1 0 1
0.002485 1 0 1
0.002495 1 0 1
0.002505 1 0 1
0.002515 1 0 1
0.002525 1 0 1
0.002535 1 0 1
0.002545 1 0 1
0.002555 1 0 1
0.002565 1 0 1
0.002575 1 0 1
0.002585 1 0 1
0.002595 1 0 1
0.002605 1 0 1
0.002615 1 0 1
0.002625 1 0 1
0.002635 1 0 1
0.002645 1 0 1
0.002655 1 0 1
0.002665 1 0 1
0.002675 1 0 1
0.002685 1 0 1
0.002695 1 0 1
0.002705 1 0 1
0.002715 1 0 1
0.002725 1 0 1
0.002735 1 0 1
0.002745 1 0 1
0.002755 1 0 1
0.002765 1 0 1
0.002775 1 0 1
0.002785 1 0 1
0.002795 1 0 1
0.002805 1 0 1
0.002815 1 0 1
0.002825 1 0 1
0.002835 1 0 1
0.002845 1 0 1
0.002855 1 0 1
0.002865 1 0 1
0.002875 1 0 1
0.002885 1 0 1
0.002895 1 0 1
0.002905 1 0 1
0.002915 1 0 1
0.002925 1 0 1
0.002935 1 0 1
0.002945 1 0 1
0.002955 1 0 1
0.002965 1 0 1
0.002975 1 0 1
0.002985 1 0 1
0.002995 1 0 1
0.003005 1 0 1
0.003015 1 0 1
0.003025 1 0 1
0.003035 1 0 1
0.003045 1 0 1
0.003055 1 0 1
0.003065 1 0 1
0.003075 1 0 1
0.003085 1 0 1
0.003095 1 0 1
0.003105 1 0 1
0.003115 1 0 1
0.003125 1 0 1
0.003135 1 0 1
0.003145 1 0 1
0.003155 1 0 1
0.003165 1 0 1
0.003175 1 0 1
0.003185 1 0 1
0.003195 1 0 1
0.003205 1 0 1
0.003215 1 0 1
0.003225 1 0 1
0.003235 1 0 1
0.003245 1 0 1
0.003255 1 0 1
0.003265 1 0 1
0.003275 1 0 1
0.003285 1 0 1
0.003295 1 0 1
0.003305 1 0 1
0.003315 1 0 1
0.003325 1 0 1
0.003335 1 0 1
0.003345 1 0 1
0.003355 1 0 1
0.003365 1 0 1
0.003375 1 0 1
0.003385 1 0 1
0.003395 1 0 1
0.003405 1 0 1
0.003415 1 0 1
0.003425 1 0 1
0.003435 1 0 1
0.003445 1 0 1
0.003455 1 0 1
0.003465 1 0 1
0.003475 1 0 1
0.003485 1 0 1
0.003495 1 0 1
0.003505 1 0 1
0.003515 1 0 1
0.003525 1 0 1
0.003535 1 0 1
0.003545 1 0 1
0.003555 1 0 1
0.003565 1 0 1
0.003575 1 0 1
0.003585 1 0 1
0.003595 1 0 1
0.003605 1 0 1
0.003615 1 0 1
0.003625 1 0 1
0.003635 1 0 1
0.003645 1 0 1
0.003655 1 0 1
0.003665 1 0 1
0.003675 1 0 1
0.003685 1 0 1
0.003695 1 0 1
0.003705 1 0 1
0.003715 1 0 1
0.003725 1 0 1
0.003735 1 0 1
0.003745 1 0 1
0.003755 1 0 1
0.003765 1 0 1
0.003775 1 0 1
0.003785 1 0 1
0.003795 1 0 1
0.003805 1 0 1
0.003815 1 0 1
0.003825 1 0 1
0.003835 1 0 1
0.003845 1 0 1
0.003855 1 0 1
0.003865 1 0 1
0.003875 1 0 1
0.003885 1 0 1
0.003895 1 0 1
0.003905 1 0 1
0.003915 1 0 1
0.003925 1 0 1
0.003935 1 0 1
0.003945 1 0 1
0.003955 1 0 1
0.003965 1 0 1
0.003975 1 0 1
0.003985 1 0 1
0.003995 1 0 1
0.004005 1 0 1
0.004015 1 0 1
0.004025 1 0 1
0.004035 1 0 1
0.004045 1 0 1
0.004055 1 0 1
0.004065 1 0 1
0.004075 1 0 1
0.004085 1 0 1
0.004095 1 0 1
0.004105 1 0 1
0.004115 1 0 1
0.004125 1 0 1
0.004135 1 0 1
0.004145 1 0 1
0.004155 1 0 1
0.004165 1 0 1
0.004175 1 0 1
0.004185 1 0 1
0.004195 1 0 1
0.004205 1 0 1
0.004215 1 0 1
0.004225 1 0 1
0.004235 1 0 1
0.004245 1 0 1
0.004255 1 0 1
0.004265 1 0 1
0.004275 1 0 1
0.004285 1 0 1
0.004295 1 0 1
0.004305 1 0 1
0.004315 1 0 1
0.004325 1 0 1
0.004335 1 0 1
0.004345 1 0 1
0.004355 1 0 1
0.004365 1 0 1
0.004375 1 0 1
0.004385 1 0 1
0.004395 1 0 1
0.004405 1 0 1
0.004415 1 0 1
0.004425 1 0 1
0.004435 1 0 1
0.004445 1 0 1
0.004455 1 0 1
0.004465 1 0 1
0.004475 1 0 1
0.004485 1 0 1
0.004495 1 0 1
0.004505 1 0 1
0.004515 1 0 1
0.004525 1 0 1
0.004535 1 0 1
0.004545 1 0 1
0.004555 1 0 1
0.004565 1 0 1
0.004575 1 0 1
