x,y,index
-0.5,3.06162e-17,0
-0.499874,0.011219,1
-0.499497,0.0224324,2
-0.498867,0.0336345,3
-0.497987,0.0448197,4
-0.496856,0.0559822,5
-0.495475,0.0671166,6
-0.493844,0.0782172,7
-0.491965,0.0892784,8
-0.489838,0.100295,9
-0.487464,0.11126,10
-0.484845,0.12217,11
-0.481981,0.133018,12
-0.478875,0.1438,13
-0.475528,0.154508,14
-0.471942,0.16514,15
-0.468117,0.175687,16
-0.464057,0.186147,17
-0.459764,0.196513,18
-0.455239,0.206779,19
-0.450484,0.216942,20
-0.445503,0.226995,21
-0.440298,0.236934,22
-0.434871,0.246754,23
-0.429224,0.25645,24
-0.423362,0.266016,25
-0.417287,0.275448,26
-0.411001,0.284742,27
-0.404508,0.293893,28
-0.397812,0.302895,29
-0.390916,0.311745,30
-0.383822,0.320438,31
-0.376536,0.328969,32
-0.369059,0.337335,33
-0.361397,0.345531,34
-0.353553,0.353553,35
-0.345531,0.361397,36
-0.337335,0.369059,37
-0.328969,0.376536,38
-0.320438,0.383822,39
-0.311745,0.390916,40
-0.302895,0.397812,41
-0.293893,0.404508,42
-0.284742,0.411001,43
-0.275448,0.417287,44
-0.266016,0.423362,45
-0.25645,0.429224,46
-0.246754,0.434871,47
-0.236934,0.440298,48
-0.226995,0.445503,49
-0.216942,0.450484,50
-0.206779,0.455239,51
-0.196513,0.459764,52
-0.186147,0.464057,53
-0.175687,0.468117,54
-0.16514,0.471942,55
-0.154508,0.475528,56
-0.1438,0.478875,57
-0.133018,0.481981,58
-0.12217,0.484845,59
-0.11126,0.487464,60
-0.100295,0.489838,61
-0.0892784,0.491965,62
-0.0782172,0.493844,63
-0.0671166,0.495475,64
-0.0559822,0.496856,65
-0.0448197,0.497987,66
-0.0336345,0.498867,67
-0.0224324,0.499497,68
-0.011219,0.499874,69
-0,0.5,70
-0.416666,2.55135e-17,71
-0.416562,0.00934919,72
-0.416247,0.0186937,73
-0.415723,0.0280287,74
-0.414989,0.0373497,75
-0.414047,0.0466518,76
-0.412895,0.0559305,77
-0.411537,0.065181,78
-0.40997,0.0743987,79
-0.408198,0.0835789,80
-0.40622,0.092717,81
-0.404037,0.101808,82
-0.401651,0.110849,83
-0.399063,0.119833,84
-0.396273,0.128757,85
-0.393284,0.137616,86
-0.390098,0.146406,87
-0.386714,0.155122,88
-0.383136,0.16376,89
-0.379365,0.172316,90
-0.375403,0.180785,91
-0.371253,0.189163,92
-0.366915,0.197445,93
-0.362392,0.205628,94
-0.357687,0.213708,95
-0.352802,0.22168,96
-0.347739,0.22954,97
-0.342501,0.237285,98
-0.33709,0.24491,99
-0.33151,0.252412,100
-0.325763,0.259787,101
-0.319852,0.267031,102
-0.31378,0.274141,103
-0.307549,0.281113,104
-0.301164,0.287943,105
-0.294628,0.294628,106
-0.287943,0.301164,107
-0.281113,0.307549,108
-0.274141,0.31378,109
-0.267031,0.319852,110
-0.259787,0.325763,111
-0.252412,0.33151,112
-0.24491,0.33709,113
-0.237285,0.342501,114
-0.22954,0.347739,115
-0.22168,0.352802,116
-0.213708,0.357687,117
-0.205628,0.362392,118
-0.197445,0.366915,119
-0.189163,0.371253,120
-0.180785,0.375403,121
-0.172316,0.379365,122
-0.16376,0.383136,123
-0.155122,0.386714,124
-0.146406,0.390098,125
-0.137616,0.393284,126
-0.128757,0.396273,127
-0.119833,0.399063,128
-0.110849,0.401651,129
-0.101808,0.404037,130
-0.092717,0.40622,131
-0.0835789,0.408198,132
-0.0743987,0.40997,133
-0.065181,0.411537,134
-0.0559305,0.412895,135
-0.0466518,0.414047,136
-0.0373497,0.414989,137
-0.0280287,0.415723,138
-0.0186937,0.416247,139
-0.00934919,0.416562,140
-0,0.416666,141
-0.347222,2.12612e-17,142
-0.347134,0.00779098,143
-0.346872,0.015578,144
-0.346435,0.0233573,145
-0.345824,0.0311247,146
-0.345039,0.0388765,147
-0.344079,0.0466087,148
-0.342947,0.0543175,149
-0.341642,0.0619988,150
-0.340165,0.069649,151
-0.338516,0.0772641,152
-0.336697,0.0848403,153
-0.334709,0.0923738,154
-0.332552,0.0998608,155
-0.330228,0.107297,156
-0.327737,0.11468,157
-0.325081,0.122005,158
-0.322262,0.129268,159
-0.31928,0.136467,160
-0.316138,0.143597,161
-0.312836,0.150654,162
-0.309377,0.157635,163
-0.305762,0.164538,164
-0.301993,0.171357,165
-0.298072,0.17809,166
-0.294001,0.184733,167
-0.289782,0.191283,168
-0.285417,0.197737,169
-0.280908,0.204092,170
-0.276258,0.210343,171
-0.271469,0.216489,172
-0.266543,0.222526,173
