x_c,y_c,Ri,rho,u,v,p,T
-0.458275,0.00514205,0,0.116124,208.331,0,10000,300
-0.458045,0.0154236,0,0.116124,208.331,0,10000,300
-0.457584,0.0256973,0,0.116124,208.331,0,10000,300
-0.456892,0.0359582,0,0.116124,208.331,0,10000,300
-0.45597,0.0462008,0,0.116124,208.331,0,10000,300
-0.454818,0.0564203,0,0.116124,208.331,0,10000,300
-0.453438,0.0666113,0,0.116124,208.331,0,10000,300
-0.451829,0.0767688,0,0.116124,208.331,0,10000,300
-0.449993,0.0868877,0,0.116124,208.331,0,10000,300
-0.44793,0.0969627,0,0.116124,208.331,0,10000,300
-0.445642,0.106989,0,0.116124,208.331,0,10000,300
-0.443128,0.116961,0,0.116124,208.331,0,10000,300
-0.440392,0.126875,0,0.116124,208.331,0,10000,300
-0.437435,0.136724,0,0.116124,208.331,0,10000,300
-0.434257,0.146505,0,0.116124,208.331,0,10000,300
-0.43086,0.156212,0,0.116124,208.331,0,10000,300
-0.427247,0.165841,0,0.116124,208.331,0,10000,300
-0.423418,0.175385,0,0.116124,208.331,0,10000,300
-0.419376,0.184842,0,0.116124,208.331,0,10000,300
-0.415123,0.194206,0,0.116124,208.331,0,10000,300
-0.410661,0.203471,0,0.116124,208.331,0,10000,300
-0.405992,0.212634,0,0.116124,208.331,0,10000,300
-0.401119,0.22169,0,0.116124,208.331,0,10000,300
-0.396043,0.230635,0,0.116124,208.331,0,10000,300
-0.390769,0.239463,0,0.116124,208.331,0,10000,300
-0.385298,0.248171,0,0.116124,208.331,0,10000,300
-0.379632,0.256754,0,0.116124,208.331,0,10000,300
-0.373775,0.265207,0,0.116124,208.331,0,10000,300
-0.36773,0.273528,0,0.116124,208.331,0,10000,300
-0.3615,0.28171,0,0.116124,208.331,0,10000,300
-0.355088,0.28975,0,0.116124,208.331,0,10000,300
-0.348498,0.297645,0,0.116124,208.331,0,10000,300
-0.341731,0.305389,0,0.116124,208.331,0,10000,300
-0.334792,0.31298,0,0.116124,208.331,0,10000,300
-0.327685,0.320414,0,0.116124,208.331,0,10000,300
-0.320414,0.327685,0,0.116124,208.331,0,10000,300
-0.31298,0.334792,0,0.116124,208.331,0,10000,300
-0.305389,0.341731,0,0.116124,208.331,0,10000,300
-0.297645,0.348498,0,0.116124,208.331,0,10000,300
-0.28975,0.355088,0,0.116124,208.331,0,10000,300
-0.28171,0.3615,0,0.116124,208.331,0,10000,300
-0.273528,0.36773,0,0.116124,208.331,0,10000,300
-0.265207,0.373775,0,0.116124,208.331,0,10000,300
-0.256754,0.379632,0,0.116124,208.331,0,10000,300
-0.248171,0.385298,0,0.116124,208.331,0,10000,300
-0.239463,0.390769,0,0.116124,208.331,0,10000,300
-0.230635,0.396044,0,0.116124,208.331,0,10000,300
-0.22169,0.401119,0,0.116124,208.331,0,10000,300
-0.212634,0.405992,0,0.116124,208.331,0,10000,300
-0.203471,0.410661,0,0.116124,208.331,0,10000,300
-0.194206,0.415123,0,0.116124,208.331,0,10000,300
-0.184842,0.419376,0,0.116124,208.331,0,10000,300
-0.175385,0.423418,0,0.116124,208.331,0,10000,300
-0.165841,0.427247,0,0.116124,208.331,0,10000,300
-0.156212,0.43086,0,0.116124,208.331,0,10000,300
-0.146505,0.434257,0,0.116124,208.331,0,10000,300
-0.136724,0.437435,0,0.116124,208.331,0,10000,300
-0.126875,0.440392,0,0.116124,208.331,0,10000,300
-0.116961,0.443128,0,0.116124,208.331,0,10000,300
-0.106989,0.445642,0,0.116124,208.331,0,10000,300
-0.0969627,0.44793,0,0.116124,208.331,0,10000,300
