x_c,y_c,rho,u,v,p,T
0.0555555,0.025,0.116124,868.047,0,10000,300
0.0555555,0.075,0.116124,868.047,0,10000,300
0.0555555,0.125,0.116124,868.047,0,10000,300
0.0555555,0.175,0.116124,868.047,0,10000,300
0.0555555,0.225,0.116124,868.047,0,10000,300
0.166666,0.025,0.116124,868.047,0,10000,300
0.166666,0.075,0.116124,868.047,0,10000,300
0.166666,0.125,0.116124,868.047,0,10000,300
0.166666,0.175,0.116124,868.047,0,10000,300
0.166666,0.225,0.116124,868.047,0,10000,300
0.277778,0.0254019,0.116124,868.047,0,10000,300
0.277778,0.0753126,0.116124,868.047,0,10000,300
0.277778,0.125223,0.116124,868.047,0,10000,300
0.277778,0.175134,0.116124,868.047,0,10000,300
0.277778,0.225045,0.116124,868.047,0,10000,300
0.388889,0.0392013,0.116124,868.047,0,10000,300
0.388889,0.0860454,0.116124,868.047,0,10000,300
0.388889,0.132889,0.116124,868.047,0,10000,300
0.388889,0.179734,0.116124,868.047,0,10000,300
0.388889,0.226578,0.116124,868.047,0,10000,300
0.5,0.0659962,0.116124,868.047,0,10000,300
0.5,0.106886,0.116124,868.047,0,10000,300
0.5,0.147776,0.116124,868.047,0,10000,300
0.5,0.188665,0.116124,868.047,0,10000,300
0.5,0.229555,0.116124,868.047,0,10000,300
0.611112,0.0927912,0.116124,868.047,0,10000,300
0.611112,0.127726,0.116124,868.047,0,10000,300
0.611112,0.162662,0.116124,868.047,0,10000,300
0.611112,0.197597,0.116124,868.047,0,10000,300
0.611112,0.232532,0.116124,868.047,0,10000,300
0.722222,0.106591,0.116124,868.047,0,10000,300
0.722222,0.13846,0.116124,868.047,0,10000,300
0.722222,0.170328,0.116124,868.047,0,10000,300
0.722222,0.202197,0.116124,868.047,0,10000,300
0.722222,0.234066,0.116124,868.047,0,10000,300
0.833333,0.106992,0.116124,868.047,0,10000,300
0.833333,0.138772,0.116124,868.047,0,10000,300
0.833333,0.170551,0.116124,868.047,0,10000,300
0.833333,0.202331,0.116124,868.047,0,10000,300
0.833333,0.23411,0.116124,868.047,0,10000,300
0.944445,0.106992,0.116124,868.047,0,10000,300
0.944445,0.138772,0.116124,868.047,0,10000,300
0.944445,0.170551,0.116124,868.047,0,10000,300
0.944445,0.202331,0.116124,868.047,0,10000,300
0.944445,0.23411,0.116124,868.047,0,10000,300
