x_c,y_c,volume,skewness
0.0555555,0.025,0.00555555,0
0.0555555,0.075,0.00555555,0
0.0555555,0.125,0.00555555,0
0.0555555,0.175,0.00555555,0
0.0555555,0.225,0.00555555,0
0.166666,0.025,0.00555555,0
0.166666,0.075,0.00555555,0
0.166666,0.125,0.00555555,0
0.166666,0.175,0.00555555,0
0.166666,0.225,0.00555555,0
0.277778,0.0254019,0.00554562,4.53579e-18
0.277778,0.0753126,0.00554563,1.46949e-18
0.277778,0.125223,0.00554561,2.9108e-18
0.277778,0.175134,0.00554566,6.54733e-20
0.277778,0.225045,0.00554561,1.81057e-18
0.388889,0.0392013,0.0052049,3.77282e-18
0.388889,0.0860454,0.0052049,6.26757e-18
0.388889,0.132889,0.00520488,2.71185e-18
0.388889,0.179734,0.00520494,7.00685e-19
0.388889,0.226578,0.00520488,4.80155e-18
0.5,0.0659962,0.00454334,4.98656e-18
0.5,0.106886,0.00454331,2.75622e-18
0.5,0.147776,0.00454337,1.30739e-18
0.5,0.188665,0.00454331,1.90615e-18
0.5,0.229555,0.00454337,2.42477e-18
0.611112,0.0927912,0.00388171,1.72225e-18
0.611112,0.127726,0.00388167,6.40138e-19
0.611112,0.162662,0.00388172,4.96668e-18
0.611112,0.197597,0.00388166,7.41158e-19
0.611112,0.232532,0.00388172,5.62754e-18
0.722222,0.106591,0.00354098,2.33402e-18
0.722222,0.13846,0.003541,2.89378e-18
0.722222,0.170328,0.00354094,2.91081e-18
0.722222,0.202197,0.003541,6.54156e-20
0.722222,0.234066,0.00354094,1.81051e-18
0.833333,0.106992,0.00353103,0
0.833333,0.138772,0.00353111,0
0.833333,0.170551,0.003531,0
0.833333,0.202331,0.00353111,0
0.833333,0.23411,0.003531,0
0.944445,0.106992,0.00353103,0
0.944445,0.138772,0.00353111,0
0.944445,0.170551,0.003531,0
0.944445,0.202331,0.00353111,0
0.944445,0.23411,0.003531,0
