x_c,y_c,rho,u,v,p,T
0.0555555,0.025,0.116124,868.047,0,10000,300
0.0555555,0.075,0.116124,868.047,0,10000,300
0.0555555,0.125,0.116124,868.047,0,10000,300
0.0555555,0.175,0.116124,868.047,0,10000,300
0.0555555,0.225,0.116124,868.047,0,10000,300
0.166666,0.025,0.116124,868.047,0,10000,300
0.166666,0.075,0.116124,868.047,0,10000,300
0.166666,0.125,0.116124,868.047,0,10000,300
0.166666,0.175,0.116124,868.047,0,10000,300
0.166666,0.225,0.116124,868.047,0,10000,300
0.277778,0.0254019,0.116124,868.047,-1.19504e-20,10000,300
0.277778,0.0753126,0.116124,868.047,-1.68716e-15,10000,300
0.277778,0.125223,0.116124,868.047,-8.8417e-21,10000,300
0.277778,0.175134,0.116124,868.047,3.52782e-23,10000,300
0.277778,0.225045,0.116124,868.047,-1.33763e-27,10000,300
0.388889,0.0392013,0.116126,868.047,-7.84855e-16,10000.2,300
0.388889,0.0860454,0.116124,868.047,-3.0519e-12,10000,300
0.388889,0.132889,0.116124,868.047,-5.71917e-16,10000,300
0.388889,0.179734,0.116124,868.047,-5.36985e-20,10000,300
0.388889,0.226578,0.116124,868.047,2.99262e-22,10000,300
0.5,0.0659962,0.116126,868.047,-1.18003e-15,10000.2,300
0.5,0.106886,0.116124,868.047,-4.00536e-12,10000,300
0.5,0.147776,0.116124,868.047,-8.59873e-16,10000,300
0.5,0.188665,0.116124,868.047,-9.2839e-20,10000,300
0.5,0.229555,0.116124,868.047,3.40676e-22,10000,300
0.611112,0.0927912,0.116127,868.047,-1.89222e-15,10000.2,300
0.611112,0.127726,0.116124,868.047,-5.48733e-12,10000,300
0.611112,0.162662,0.116124,868.047,-1.37891e-15,10000,300
0.611112,0.197597,0.116124,868.047,-1.73609e-19,10000,300
0.611112,0.232532,0.116124,868.047,-9.55396e-24,10000,300
0.722222,0.106591,0.116124,868.047,-4.5725e-20,10000,300
0.722222,0.13846,0.116124,868.047,-4.13494e-15,10000,300
0.722222,0.170328,0.116124,868.047,-3.38297e-20,10000,300
0.722222,0.202197,0.116124,868.047,4.13334e-23,10000,300
0.722222,0.234066,0.116124,868.047,1.38204e-23,10000,300
0.833333,0.106992,0.116124,868.047,0,10000,300
0.833333,0.138772,0.116124,868.047,0,10000,300
0.833333,0.170551,0.116124,868.047,0,10000,300
0.833333,0.202331,0.116124,868.047,0,10000,300
0.833333,0.23411,0.116124,868.047,0,10000,300
0.944445,0.106992,0.116124,868.047,0,10000,300
0.944445,0.138772,0.116124,868.047,0,10000,300
0.944445,0.170551,0.116124,868.047,0,10000,300
0.944445,0.202331,0.116124,868.047,0,10000,300
0.944445,0.23411,0.116124,868.047,0,10000,300
